Branch,Asset Name,Resource Category,Resource Type,Amount,Unit,Total Greenhouse Gases (t CO2-e),Billing Start date,Billing End Date,CoM or Supply Chain,Peak amount,Off-peak amount
Supply Chain,Air Travel,Long,Air,233626.8591,km,39004.004126745,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Supply Chain,Air Travel,Long business,Air,283717.6911,km,137344.897084599,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Supply Chain,Air Travel,Medium,Air,158596.0232,km,27851.047634152,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Supply Chain,Air Travel,Medium business,Air,31462.6752,km,8287.897901184,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Supply Chain,Air Travel,Medium business,Air,7261.360128,km,1912.7874849178,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Supply Chain,Air Travel,Short,Air,5964.228864,km,1938.9708036864,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Supply Chain,Air Travel,Short,Air,193394.8685,km,62872.67174935,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Supply Chain,Air Travel,Short,Air,759.610368,km,246.9493306368,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Recreation Services,Recreation Centre - Carlton Baths,Carbon dioxide,Chemicals,2520.309917,kg,2520.309917,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Recreation Services,Recreation Centre - Carlton Baths,Chlorine,Chemicals,11749.38017,L,12983.06508785,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Engineering Services,Administration - Corporate Fleet,Solvent,Chemicals,72,L,184.571136,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Engineering Services,Street Cleaning,Solvent,Chemicals,3379.6,L,8663.5640448,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
Property Services,Building and Property Maintenance,Solvent,Chemicals,1,L,2.563488,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Supply Chain,,
